Filename:  C:\Users\bier\Desktop\testzeug\step1_2_100kv10w60s.mca;;;;;;Filename:  C:\Users\bier\Desktop\testzeug\step_2.1428_100kv10w60s.mca;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.2856_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.4283_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.5711_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.7138_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.8567_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.9994_100kv10w60s.mca;;
247;4879;;;;;247;5637;;;;;247;6221;;;;;;;;;;247;6037;;;;;;;;;;247;5714;;;;;;;;;;247;4924;;;;;;;;;;247;4640;;;;;;;;;;247;4539;
248;4863;;;;;248;5559;;;;;248;6040;;;;;;;;;;248;6117;;;;;;;;;;248;5462;;;;;;;;;;248;5000;;;;;;;;;;248;4630;;;;;;;;;;248;4637;
249;4867;;;;;249;5760;;;;;249;6125;;;;;;;;;;249;6118;;;;;;;;;;249;5599;;;;;;;;;;249;4853;;;;;;;;;;249;4771;;;;;;;;;;249;4599;
250;5090;;;;;250;5770;;;;;250;6141;;;;;;;;;;250;6023;;;;;;;;;;250;5500;;;;;;;;;;250;5044;;;;;;;;;;250;4745;;;;;;;;;;250;4621;
251;4956;;;;;251;5721;;;;;251;6087;;;;;;;;;;251;5987;;;;;;;;;;251;5566;;;;;;;;;;251;4847;;;;;;;;;;251;4681;;;;;;;;;;251;4642;
252;4955;;;;;252;5630;;;;;252;5937;;;;;;;;;;252;6021;;;;;;;;;;252;5615;;;;;;;;;;252;5107;;;;;;;;;;252;4815;;;;;;;;;;252;4741;
253;5130;;;;;253;5606;;;;;253;6098;;;;;;;;;;253;5790;;;;;;;;;;253;5560;;;;;;;;;;253;4872;;;;;;;;;;253;4660;;;;;;;;;;253;4759;
254;5162;;;;;254;5851;;;;;254;6093;;;;;;;;;;254;5977;;;;;;;;;;254;5683;;;;;;;;;;254;4904;;;;;;;;;;254;4624;;;;;;;;;;254;4792;
255;5040;;;;;255;5695;;;;;255;6062;;;;;;;;;;255;6010;;;;;;;;;;255;5635;;;;;;;;;;255;5072;;;;;;;;;;255;4593;;;;;;;;;;255;4781;
256;4942;;;;;256;5706;;;;;256;5956;;;;;;;;;;256;6093;;;;;;;;;;256;5694;;;;;;;;;;256;4981;;;;;;;;;;256;4629;;;;;;;;;;256;4804;
257;4978;;;;;257;5724;;;;;257;6090;;;;;;;;;;257;6092;;;;;;;;;;257;5575;;;;;;;;;;257;4957;;;;;;;;;;257;4754;;;;;;;;;;257;4661;
258;5041;;;;;258;5669;;;;;258;5996;;;;;;;;;;258;5770;;;;;;;;;;258;5712;;;;;;;;;;258;5059;;;;;;;;;;258;4713;;;;;;;;;;258;4833;
259;5052;;;;;259;5695;;;;;259;6107;;;;;;;;;;259;5921;;;;;;;;;;259;5587;;;;;;;;;;259;5105;;;;;;;;;;259;4855;;;;;;;;;;259;4716;
260;5058;;;;;260;5619;;;;;260;5985;;;;;;;;;;260;5786;;;;;;;;;;260;5644;;;;;;;;;;260;4980;;;;;;;;;;260;4714;;;;;;;;;;260;4852;
261;5066;;;;;261;5803;;;;;261;5949;;;;;;;;;;261;5913;;;;;;;;;;261;5571;;;;;;;;;;261;5072;;;;;;;;;;261;4689;;;;;;;;;;261;4879;
262;4934;;;;;262;5552;;;;;262;6042;;;;;;;;;;262;6079;;;;;;;;;;262;5673;;;;;;;;;;262;5135;;;;;;;;;;262;4967;;;;;;;;;;262;4723;
263;5160;;;;;263;5725;;;;;263;5868;;;;;;;;;;263;5857;;;;;;;;;;263;5642;;;;;;;;;;263;5145;;;;;;;;;;263;4810;;;;;;;;;;263;4843;
264;5136;;;;;264;5728;;;;;264;6281;;;;;;;;;;264;6036;;;;;;;;;;264;5614;;;;;;;;;;264;4955;;;;;;;;;;264;4708;;;;;;;;;;264;4811;
265;5082;;;;;265;5762;;;;;265;6034;;;;;;;;;;265;5948;;;;;;;;;;265;5675;;;;;;;;;;265;5047;;;;;;;;;;265;4773;;;;;;;;;;265;4945;
266;5117;;;;;266;5583;;;;;266;6128;;;;;;;;;;266;5875;;;;;;;;;;266;5683;;;;;;;;;;266;5242;;;;;;;;;;266;4829;;;;;;;;;;266;4745;
267;5142;;;;;267;5717;;;;;267;6013;;;;;;;;;;267;5940;;;;;;;;;;267;5521;;;;;;;;;;267;5236;;;;;;;;;;267;4830;;;;;;;;;;267;4908;
268;5092;;;;;268;5671;;;;;268;6037;;;;;;;;;;268;6088;;;;;;;;;;268;5703;;;;;;;;;;268;5120;;;;;;;;;;268;4953;;;;;;;;;;268;5045;
269;5172;;;;;269;5804;;;;;269;6109;;;;;;;;;;269;5861;;;;;;;;;;269;5596;;;;;;;;;;269;5235;;;;;;;;;;269;4917;;;;;;;;;;269;4918;
270;5234;;;;;270;5807;;;;;270;5950;;;;;;;;;;270;5976;;;;;;;;;;270;5665;;;;;;;;;;270;5179;;;;;;;;;;270;4850;;;;;;;;;;270;4975;
271;5178;;;;;271;5745;;;;;271;6078;;;;;;;;;;271;5984;;;;;;;;;;271;5602;;;;;;;;;;271;5307;;;;;;;;;;271;4814;;;;;;;;;;271;4874;
272;5214;;;;;272;5631;;;;;272;6071;;;;;;;;;;272;5848;;;;;;;;;;272;5538;;;;;;;;;;272;5081;;;;;;;;;;272;4897;;;;;;;;;;272;5008;
273;5185;;;;;273;5776;;;;;273;6089;;;;;;;;;;273;5957;;;;;;;;;;273;5580;;;;;;;;;;273;5166;;;;;;;;;;273;4953;;;;;;;;;;273;5021;
274;5232;;;;;274;5796;;;;;274;5950;;;;;;;;;;274;6040;;;;;;;;;;274;5537;;;;;;;;;;274;5118;;;;;;;;;;274;4919;;;;;;;;;;274;4969;
275;5132;;;;;275;5774;;;;;275;6000;;;;;;;;;;275;5959;;;;;;;;;;275;5579;;;;;;;;;;275;5118;;;;;;;;;;275;4845;;;;;;;;;;275;4997;
276;5292;;;;;276;5747;;;;;276;6016;;;;;;;;;;276;5982;;;;;;;;;;276;5809;;;;;;;;;;276;5302;;;;;;;;;;276;4933;;;;;;;;;;276;5003;
277;5362;;;;;277;5809;;;;;277;6079;;;;;;;;;;277;5863;;;;;;;;;;277;5662;;;;;;;;;;277;5201;;;;;;;;;;277;4975;;;;;;;;;;277;5033;
278;5391;;;;;278;5945;;;;;278;6116;;;;;;;;;;278;5998;;;;;;;;;;278;5666;;;;;;;;;;278;5445;;;;;;;;;;278;5038;;;;;;;;;;278;4988;
279;5438;;;;;279;5910;;;;;279;6116;;;;;;;;;;279;6056;;;;;;;;;;279;5575;;;;;;;;;;279;5131;;;;;;;;;;279;5106;;;;;;;;;;279;5086;
280;5645;;;;;280;6100;;;;;280;6281;;;;;;;;;;280;5919;;;;;;;;;;280;5844;;;;;;;;;;280;5353;;;;;;;;;;280;5110;;;;;;;;;;280;5249;
281;5715;;;;;281;6100;;;;;281;6149;;;;;;;;;;281;6225;;;;;;;;;;281;5797;;;;;;;;;;281;5433;;;;;;;;;;281;5179;;;;;;;;;;281;5188;
282;5938;;;;;282;6296;;;;;282;6460;;;;;;;;;;282;6281;;;;;;;;;;282;6069;;;;;;;;;;282;5606;;;;;;;;;;282;5333;;;;;;;;;;282;5373;
283;5830;;;;;283;6570;;;;;283;6735;;;;;;;;;;283;6555;;;;;;;;;;283;6223;;;;;;;;;;283;5681;;;;;;;;;;283;5608;;;;;;;;;;283;5482;
284;6401;;;;;284;6984;;;;;284;6896;;;;;;;;;;284;6779;;;;;;;;;;284;6536;;;;;;;;;;284;5974;;;;;;;;;;284;5763;;;;;;;;;;284;5976;
285;6813;;;;;285;7219;;;;;285;7181;;;;;;;;;;285;7093;;;;;;;;;;285;6703;;;;;;;;;;285;6298;;;;;;;;;;285;6184;;;;;;;;;;285;6084;
286;7254;;;;;286;7716;;;;;286;7518;;;;;;;;;;286;7407;;;;;;;;;;286;7103;;;;;;;;;;286;6650;;;;;;;;;;286;6576;;;;;;;;;;286;6511;
287;7770;;;;;287;8433;;;;;287;8010;;;;;;;;;;287;8159;;;;;;;;;;287;7673;;;;;;;;;;287;7071;;;;;;;;;;287;6986;;;;;;;;;;287;6936;
288;8175;;;;;288;8726;;;;;288;8659;;;;;;;;;;288;8524;;;;;;;;;;288;8347;;;;;;;;;;288;7511;;;;;;;;;;288;7367;;;;;;;;;;288;7491;
289;8693;;;;;289;9205;;;;;289;9074;;;;;;;;;;289;9053;;;;;;;;;;289;8628;;;;;;;;;;289;8138;;;;;;;;;;289;7896;;;;;;;;;;289;7912;
290;9115;;;;;290;9716;;;;;290;9405;;;;;;;;;;290;9512;;;;;;;;;;290;9204;;;;;;;;;;290;8656;;;;;;;;;;290;8438;;;;;;;;;;290;8475;
291;9512;;;;;291;10303;;;;;291;10035;;;;;;;;;;291;9838;;;;;;;;;;291;9469;;;;;;;;;;291;9140;;;;;;;;;;291;8730;;;;;;;;;;291;8795;
292;9739;;;;;292;10568;;;;;292;10333;;;;;;;;;;292;10425;;;;;;;;;;292;10006;;;;;;;;;;292;9407;;;;;;;;;;292;9216;;;;;;;;;;292;9065;
293;10078;;;;;293;10772;;;;;293;10554;;;;;;;;;;293;10539;;;;;;;;;;293;10460;;;;;;;;;;293;9749;;;;;;;;;;293;9637;;;;;;;;;;293;9660;
294;10360;;;;;294;10944;;;;;294;10889;;;;;;;;;;294;10937;;;;;;;;;;294;10490;;;;;;;;;;294;9965;;;;;;;;;;294;9727;;;;;;;;;;294;9823;
295;10246;;;;;295;10763;;;;;295;11140;;;;;;;;;;295;11348;;;;;;;;;;295;10582;;;;;;;;;;295;10124;;;;;;;;;;295;10078;;;;;;;;;;295;10041;
296;10152;;;;;296;10679;;;;;296;11190;;;;;;;;;;296;11103;;;;;;;;;;296;10713;;;;;;;;;;296;10111;;;;;;;;;;296;9973;;;;;;;;;;296;9849;
297;9873;;;;;297;10148;;;;;297;11020;;;;;;;;;;297;11076;;;;;;;;;;297;10719;;;;;;;;;;297;10269;;;;;;;;;;297;9991;;;;;;;;;;297;9755;
298;9399;;;;;298;9977;;;;;298;10792;;;;;;;;;;298;10930;;;;;;;;;;298;10319;;;;;;;;;;298;9841;;;;;;;;;;298;9691;;;;;;;;;;298;9745;
299;8562;;;;;299;9262;;;;;299;10159;;;;;;;;;;299;10123;;;;;;;;;;299;9934;;;;;;;;;;299;9328;;;;;;;;;;299;9210;;;;;;;;;;299;9173;
300;8123;;;;;300;8533;;;;;300;9684;;;;;;;;;;300;9369;;;;;;;;;;300;9104;;;;;;;;;;300;8629;;;;;;;;;;300;8575;;;;;;;;;;300;8848;
301;7313;;;;;301;7813;;;;;301;8632;;;;;;;;;;301;8731;;;;;;;;;;301;8515;;;;;;;;;;301;8074;;;;;;;;;;301;7912;;;;;;;;;;301;7894;
302;6536;;;;;302;7130;;;;;302;8024;;;;;;;;;;302;7951;;;;;;;;;;302;7745;;;;;;;;;;302;7226;;;;;;;;;;302;7187;;;;;;;;;;302;7105;
303;6125;;;;;303;6374;;;;;303;7274;;;;;;;;;;303;7169;;;;;;;;;;303;6979;;;;;;;;;;303;6587;;;;;;;;;;303;6605;;;;;;;;;;303;6567;
304;5728;;;;;304;6102;;;;;304;6788;;;;;;;;;;304;6657;;;;;;;;;;304;6626;;;;;;;;;;304;6076;;;;;;;;;;304;5962;;;;;;;;;;304;5927;
305;5343;;;;;305;5874;;;;;305;6239;;;;;;;;;;305;6295;;;;;;;;;;305;6008;;;;;;;;;;305;5599;;;;;;;;;;305;5591;;;;;;;;;;305;5665;
306;5299;;;;;306;5643;;;;;306;5966;;;;;;;;;;306;6024;;;;;;;;;;306;5657;;;;;;;;;;306;5272;;;;;;;;;;306;5183;;;;;;;;;;306;5277;
307;5065;;;;;307;5385;;;;;307;5648;;;;;;;;;;307;5704;;;;;;;;;;307;5580;;;;;;;;;;307;5219;;;;;;;;;;307;5009;;;;;;;;;;307;5049;
308;5046;;;;;308;5457;;;;;308;5624;;;;;;;;;;308;5550;;;;;;;;;;308;5450;;;;;;;;;;308;5202;;;;;;;;;;308;4914;;;;;;;;;;308;4923;
309;5012;;;;;309;5320;;;;;309;5549;;;;;;;;;;309;5634;;;;;;;;;;309;5291;;;;;;;;;;309;5048;;;;;;;;;;309;4811;;;;;;;;;;309;4835;
310;4972;;;;;310;5350;;;;;310;5444;;;;;;;;;;310;5470;;;;;;;;;;310;5379;;;;;;;;;;310;4974;;;;;;;;;;310;4917;;;;;;;;;;310;4688;
311;4947;;;;;311;5318;;;;;311;5448;;;;;;;;;;311;5361;;;;;;;;;;311;5216;;;;;;;;;;311;5030;;;;;;;;;;311;4742;;;;;;;;;;311;4968;
312;4871;;;;;312;5262;;;;;312;5388;;;;;;;;;;312;5368;;;;;;;;;;312;5061;;;;;;;;;;312;4821;;;;;;;;;;312;4887;;;;;;;;;;312;4956;
313;4912;;;;;313;5175;;;;;313;5486;;;;;;;;;;313;5429;;;;;;;;;;313;5254;;;;;;;;;;313;5030;;;;;;;;;;313;4712;;;;;;;;;;313;4841;
314;4821;;;;;314;5164;;;;;314;5391;;;;;;;;;;314;5297;;;;;;;;;;314;5127;;;;;;;;;;314;4968;;;;;;;;;;314;4838;;;;;;;;;;314;4861;
315;4954;;;;;315;5209;;;;;315;5371;;;;;;;;;;315;5283;;;;;;;;;;315;5116;;;;;;;;;;315;4986;;;;;;;;;;315;4742;;;;;;;;;;315;4872;
316;4930;;;;;316;5156;;;;;316;5263;;;;;;;;;;316;5344;;;;;;;;;;316;5079;;;;;;;;;;316;4886;;;;;;;;;;316;4709;;;;;;;;;;316;4803;
317;4955;;;;;317;5270;;;;;317;5372;;;;;;;;;;317;5429;;;;;;;;;;317;5073;;;;;;;;;;317;4883;;;;;;;;;;317;4800;;;;;;;;;;317;4696;
318;4855;;;;;318;5343;;;;;318;5325;;;;;;;;;;318;5286;;;;;;;;;;318;5044;;;;;;;;;;318;5038;;;;;;;;;;318;4747;;;;;;;;;;318;4668;
319;4995;;;;;319;5160;;;;;319;5439;;;;;;;;;;319;5295;;;;;;;;;;319;5148;;;;;;;;;;319;5003;;;;;;;;;;319;4742;;;;;;;;;;319;4785;
320;4974;;;;;320;5235;;;;;320;5380;;;;;;;;;;320;5183;;;;;;;;;;320;5183;;;;;;;;;;320;4865;;;;;;;;;;320;4772;;;;;;;;;;320;4703;
321;4940;;;;;321;5167;;;;;321;5429;;;;;;;;;;321;5329;;;;;;;;;;321;4974;;;;;;;;;;321;4850;;;;;;;;;;321;4707;;;;;;;;;;321;4881;
322;5021;;;;;322;5199;;;;;322;5387;;;;;;;;;;322;5358;;;;;;;;;;322;5117;;;;;;;;;;322;4812;;;;;;;;;;322;4737;;;;;;;;;;322;4673;
323;5009;;;;;323;5492;;;;;323;5359;;;;;;;;;;323;5413;;;;;;;;;;323;5148;;;;;;;;;;323;4888;;;;;;;;;;323;4917;;;;;;;;;;323;4978;
324;5092;;;;;324;5384;;;;;324;5347;;;;;;;;;;324;5331;;;;;;;;;;324;5271;;;;;;;;;;324;4986;;;;;;;;;;324;4799;;;;;;;;;;324;4945;
325;5120;;;;;325;5493;;;;;325;5421;;;;;;;;;;325;5402;;;;;;;;;;325;5237;;;;;;;;;;325;4963;;;;;;;;;;325;4886;;;;;;;;;;325;4931;
326;5127;;;;;326;5345;;;;;326;5570;;;;;;;;;;326;5359;;;;;;;;;;326;5224;;;;;;;;;;326;5130;;;;;;;;;;326;5033;;;;;;;;;;326;5006;
327;5473;;;;;327;5620;;;;;327;5512;;;;;;;;;;327;5511;;;;;;;;;;327;5520;;;;;;;;;;327;4986;;;;;;;;;;327;5099;;;;;;;;;;327;5013;
328;5437;;;;;328;5809;;;;;328;5711;;;;;;;;;;328;5633;;;;;;;;;;328;5556;;;;;;;;;;328;5192;;;;;;;;;;328;5309;;;;;;;;;;328;5040;
329;5590;;;;;329;5926;;;;;329;5790;;;;;;;;;;329;5827;;;;;;;;;;329;5564;;;;;;;;;;329;5446;;;;;;;;;;329;5313;;;;;;;;;;329;5175;
330;5762;;;;;330;6093;;;;;330;5919;;;;;;;;;;330;5915;;;;;;;;;;330;5595;;;;;;;;;;330;5534;;;;;;;;;;330;5520;;;;;;;;;;330;5395;
331;5946;;;;;331;6162;;;;;331;6203;;;;;;;;;;331;6089;;;;;;;;;;331;5923;;;;;;;;;;331;5782;;;;;;;;;;331;5526;;;;;;;;;;331;5671;
332;6335;;;;;332;6503;;;;;332;6273;;;;;;;;;;332;6277;;;;;;;;;;332;6063;;;;;;;;;;332;5995;;;;;;;;;;332;5916;;;;;;;;;;332;5805;
333;6381;;;;;333;6531;;;;;333;6525;;;;;;;;;;333;6337;;;;;;;;;;333;6113;;;;;;;;;;333;6091;;;;;;;;;;333;6048;;;;;;;;;;333;5973;
334;6363;;;;;334;6664;;;;;334;6610;;;;;;;;;;334;6593;;;;;;;;;;334;6433;;;;;;;;;;334;6059;;;;;;;;;;334;6213;;;;;;;;;;334;6170;
335;6527;;;;;335;6630;;;;;335;6704;;;;;;;;;;335;6514;;;;;;;;;;335;6477;;;;;;;;;;335;6298;;;;;;;;;;335;6258;;;;;;;;;;335;6352;
336;6346;;;;;336;6714;;;;;336;6767;;;;;;;;;;336;6693;;;;;;;;;;336;6650;;;;;;;;;;336;6573;;;;;;;;;;336;6347;;;;;;;;;;336;6517;
337;6208;;;;;337;6523;;;;;337;6842;;;;;;;;;;337;6879;;;;;;;;;;337;6673;;;;;;;;;;337;6331;;;;;;;;;;337;6152;;;;;;;;;;337;6279;
338;6006;;;;;338;6262;;;;;338;6687;;;;;;;;;;338;6539;;;;;;;;;;338;6224;;;;;;;;;;338;6173;;;;;;;;;;338;6219;;;;;;;;;;338;6199;
339;5825;;;;;339;6075;;;;;339;6439;;;;;;;;;;339;6387;;;;;;;;;;339;6171;;;;;;;;;;339;6113;;;;;;;;;;339;5985;;;;;;;;;;339;5984;
340;5555;;;;;340;5799;;;;;340;6033;;;;;;;;;;340;6032;;;;;;;;;;340;6075;;;;;;;;;;340;5796;;;;;;;;;;340;5695;;;;;;;;;;340;5848;
341;5436;;;;;341;5694;;;;;341;5936;;;;;;;;;;341;5925;;;;;;;;;;341;5683;;;;;;;;;;341;5542;;;;;;;;;;341;5467;;;;;;;;;;341;5628;
342;5288;;;;;342;5488;;;;;342;5637;;;;;;;;;;342;5585;;;;;;;;;;342;5547;;;;;;;;;;342;5322;;;;;;;;;;342;5336;;;;;;;;;;342;5358;
343;5143;;;;;343;5311;;;;;343;5508;;;;;;;;;;343;5463;;;;;;;;;;343;5263;;;;;;;;;;343;5097;;;;;;;;;;343;5153;;;;;;;;;;343;5066;
344;4927;;;;;344;5180;;;;;344;5409;;;;;;;;;;344;5298;;;;;;;;;;344;5253;;;;;;;;;;344;5002;;;;;;;;;;344;4861;;;;;;;;;;344;5019;
345;4850;;;;;345;4934;;;;;345;5181;;;;;;;;;;345;5331;;;;;;;;;;345;5034;;;;;;;;;;345;4996;;;;;;;;;;345;4798;;;;;;;;;;345;4843;
346;4656;;;;;346;4872;;;;;346;5117;;;;;;;;;;346;4925;;;;;;;;;;346;5065;;;;;;;;;;346;4826;;;;;;;;;;346;4822;;;;;;;;;;346;4699;
347;4652;;;;;347;4769;;;;;347;4860;;;;;;;;;;347;5046;;;;;;;;;;347;4862;;;;;;;;;;347;4715;;;;;;;;;;347;4590;;;;;;;;;;347;4582;
348;4485;;;;;348;4709;;;;;348;4885;;;;;;;;;;348;4792;;;;;;;;;;348;4699;;;;;;;;;;348;4532;;;;;;;;;;348;4613;;;;;;;;;;348;4465;
349;4357;;;;;349;4526;;;;;349;4619;;;;;;;;;;349;4675;;;;;;;;;;349;4581;;;;;;;;;;349;4477;;;;;;;;;;349;4398;;;;;;;;;;349;4398;
350;4298;;;;;350;4405;;;;;350;4703;;;;;;;;;;350;4519;;;;;;;;;;350;4477;;;;;;;;;;350;4372;;;;;;;;;;350;4275;;;;;;;;;;350;4167;
351;4219;;;;;351;4320;;;;;351;4624;;;;;;;;;;351;4404;;;;;;;;;;351;4227;;;;;;;;;;351;4201;;;;;;;;;;351;4158;;;;;;;;;;351;4179;
352;4089;;;;;352;4257;;;;;352;4465;;;;;;;;;;352;4472;;;;;;;;;;352;4187;;;;;;;;;;352;4138;;;;;;;;;;352;4157;;;;;;;;;;352;4154;
353;3979;;;;;353;4171;;;;;353;4426;;;;;;;;;;353;4246;;;;;;;;;;353;4142;;;;;;;;;;353;4081;;;;;;;;;;353;4056;;;;;;;;;;353;4072;
354;3932;;;;;354;4056;;;;;354;4268;;;;;;;;;;354;4298;;;;;;;;;;354;4116;;;;;;;;;;354;3910;;;;;;;;;;354;3777;;;;;;;;;;354;3903;
355;3986;;;;;355;4053;;;;;355;4086;;;;;;;;;;355;4199;;;;;;;;;;355;4017;;;;;;;;;;355;3968;;;;;;;;;;355;3826;;;;;;;;;;355;4014;
356;3851;;;;;356;4089;;;;;356;4099;;;;;;;;;;356;4101;;;;;;;;;;356;4000;;;;;;;;;;356;3834;;;;;;;;;;356;3933;;;;;;;;;;356;3754;
357;3886;;;;;357;4013;;;;;357;4079;;;;;;;;;;357;4050;;;;;;;;;;357;3928;;;;;;;;;;357;3938;;;;;;;;;;357;3773;;;;;;;;;;357;3819;
358;3989;;;;;358;4088;;;;;358;4089;;;;;;;;;;358;4013;;;;;;;;;;358;4007;;;;;;;;;;358;3788;;;;;;;;;;358;3742;;;;;;;;;;358;3754;
359;3867;;;;;359;3998;;;;;359;4114;;;;;;;;;;359;4063;;;;;;;;;;359;3825;;;;;;;;;;359;3845;;;;;;;;;;359;3686;;;;;;;;;;359;3820;
360;3790;;;;;360;3960;;;;;360;4041;;;;;;;;;;360;4134;;;;;;;;;;360;3925;;;;;;;;;;360;3779;;;;;;;;;;360;3709;;;;;;;;;;360;3772;
361;3803;;;;;361;3990;;;;;361;3986;;;;;;;;;;361;4086;;;;;;;;;;361;3977;;;;;;;;;;361;3740;;;;;;;;;;361;3710;;;;;;;;;;361;3824;
362;3787;;;;;362;3981;;;;;362;4003;;;;;;;;;;362;4057;;;;;;;;;;362;3899;;;;;;;;;;362;3731;;;;;;;;;;362;3759;;;;;;;;;;362;3726;
363;3926;;;;;363;3945;;;;;363;4069;;;;;;;;;;363;3874;;;;;;;;;;363;3794;;;;;;;;;;363;3631;;;;;;;;;;363;3657;;;;;;;;;;363;3768;
364;3790;;;;;364;3936;;;;;364;4078;;;;;;;;;;364;3999;;;;;;;;;;364;3850;;;;;;;;;;364;3723;;;;;;;;;;364;3651;;;;;;;;;;364;3783;
365;3667;;;;;365;3870;;;;;365;3971;;;;;;;;;;365;3891;;;;;;;;;;365;3727;;;;;;;;;;365;3705;;;;;;;;;;365;3623;;;;;;;;;;365;3649;
366;3753;;;;;366;3797;;;;;366;3985;;;;;;;;;;366;4037;;;;;;;;;;366;3650;;;;;;;;;;366;3663;;;;;;;;;;366;3689;;;;;;;;;;366;3692;
367;3691;;;;;367;3820;;;;;367;3914;;;;;;;;;;367;3781;;;;;;;;;;367;3777;;;;;;;;;;367;3698;;;;;;;;;;367;3664;;;;;;;;;;367;3769;
368;3810;;;;;368;3743;;;;;368;3953;;;;;;;;;;368;3839;;;;;;;;;;368;3789;;;;;;;;;;368;3590;;;;;;;;;;368;3703;;;;;;;;;;368;3723;
369;3706;;;;;369;3731;;;;;369;3905;;;;;;;;;;369;3767;;;;;;;;;;369;3740;;;;;;;;;;369;3545;;;;;;;;;;369;3553;;;;;;;;;;369;3578;
370;3697;;;;;370;3846;;;;;370;3880;;;;;;;;;;370;3787;;;;;;;;;;370;3721;;;;;;;;;;370;3562;;;;;;;;;;370;3519;;;;;;;;;;370;3650;
371;3764;;;;;371;3831;;;;;371;3881;;;;;;;;;;371;3661;;;;;;;;;;371;3636;;;;;;;;;;371;3596;;;;;;;;;;371;3723;;;;;;;;;;371;3636;
372;3540;;;;;372;3738;;;;;372;3749;;;;;;;;;;372;3704;;;;;;;;;;372;3707;;;;;;;;;;372;3541;;;;;;;;;;372;3464;;;;;;;;;;372;3620;
373;3581;;;;;373;3701;;;;;373;3810;;;;;;;;;;373;3852;;;;;;;;;;373;3590;;;;;;;;;;373;3567;;;;;;;;;;373;3426;;;;;;;;;;373;3486;
374;3665;;;;;374;3723;;;;;374;3787;;;;;;;;;;374;3613;;;;;;;;;;374;3621;;;;;;;;;;374;3583;;;;;;;;;;374;3420;;;;;;;;;;374;3704;
375;3426;;;;;375;3565;;;;;375;3649;;;;;;;;;;375;3573;;;;;;;;;;375;3624;;;;;;;;;;375;3477;;;;;;;;;;375;3505;;;;;;;;;;375;3541;
