Filename:  C:\Users\bier\Desktop\testzeug\step1_2_100kv10w60s.mca;;;;;;Filename:  C:\Users\bier\Desktop\testzeug\step_2.1428_100kv10w60s.mca;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.2856_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.4283_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.5711_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.7138_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.8567_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.9994_100kv10w60s.mca;;
376;3478;;;;;376;3574;;;;;376;3643;;;;;;;;;;376;3664;;;;;;;;;;376;3537;;;;;;;;;;376;3507;;;;;;;;;;376;3497;;;;;;;;;;376;3583;
377;3569;;;;;377;3644;;;;;377;3601;;;;;;;;;;377;3608;;;;;;;;;;377;3693;;;;;;;;;;377;3352;;;;;;;;;;377;3459;;;;;;;;;;377;3479;
378;3511;;;;;378;3451;;;;;378;3665;;;;;;;;;;378;3530;;;;;;;;;;378;3471;;;;;;;;;;378;3425;;;;;;;;;;378;3411;;;;;;;;;;378;3407;
379;3402;;;;;379;3484;;;;;379;3635;;;;;;;;;;379;3591;;;;;;;;;;379;3527;;;;;;;;;;379;3424;;;;;;;;;;379;3384;;;;;;;;;;379;3548;
380;3363;;;;;380;3590;;;;;380;3597;;;;;;;;;;380;3589;;;;;;;;;;380;3465;;;;;;;;;;380;3372;;;;;;;;;;380;3295;;;;;;;;;;380;3420;
381;3369;;;;;381;3542;;;;;381;3628;;;;;;;;;;381;3469;;;;;;;;;;381;3497;;;;;;;;;;381;3480;;;;;;;;;;381;3225;;;;;;;;;;381;3308;
382;3415;;;;;382;3441;;;;;382;3525;;;;;;;;;;382;3476;;;;;;;;;;382;3349;;;;;;;;;;382;3279;;;;;;;;;;382;3358;;;;;;;;;;382;3304;
383;3322;;;;;383;3446;;;;;383;3490;;;;;;;;;;383;3458;;;;;;;;;;383;3399;;;;;;;;;;383;3296;;;;;;;;;;383;3294;;;;;;;;;;383;3286;
384;3304;;;;;384;3426;;;;;384;3420;;;;;;;;;;384;3401;;;;;;;;;;384;3387;;;;;;;;;;384;3348;;;;;;;;;;384;3293;;;;;;;;;;384;3251;
385;3140;;;;;385;3313;;;;;385;3429;;;;;;;;;;385;3400;;;;;;;;;;385;3312;;;;;;;;;;385;3221;;;;;;;;;;385;3264;;;;;;;;;;385;3266;
386;3306;;;;;386;3370;;;;;386;3353;;;;;;;;;;386;3308;;;;;;;;;;386;3271;;;;;;;;;;386;3285;;;;;;;;;;386;3222;;;;;;;;;;386;3152;
387;3185;;;;;387;3328;;;;;387;3506;;;;;;;;;;387;3297;;;;;;;;;;387;3251;;;;;;;;;;387;3144;;;;;;;;;;387;3189;;;;;;;;;;387;3180;
388;3070;;;;;388;3195;;;;;388;3382;;;;;;;;;;388;3406;;;;;;;;;;388;3231;;;;;;;;;;388;3166;;;;;;;;;;388;3240;;;;;;;;;;388;3123;
389;3166;;;;;389;3273;;;;;389;3438;;;;;;;;;;389;3211;;;;;;;;;;389;3285;;;;;;;;;;389;3135;;;;;;;;;;389;3132;;;;;;;;;;389;3087;
390;2991;;;;;390;3191;;;;;390;3318;;;;;;;;;;390;3213;;;;;;;;;;390;3145;;;;;;;;;;390;3043;;;;;;;;;;390;3136;;;;;;;;;;390;3116;
391;3017;;;;;391;3141;;;;;391;3077;;;;;;;;;;391;3100;;;;;;;;;;391;3075;;;;;;;;;;391;3034;;;;;;;;;;391;3000;;;;;;;;;;391;3047;
392;2986;;;;;392;3026;;;;;392;3060;;;;;;;;;;392;3131;;;;;;;;;;392;3065;;;;;;;;;;392;2958;;;;;;;;;;392;2929;;;;;;;;;;392;3027;
393;2861;;;;;393;2993;;;;;393;3173;;;;;;;;;;393;3193;;;;;;;;;;393;3056;;;;;;;;;;393;2885;;;;;;;;;;393;2979;;;;;;;;;;393;3007;
394;2825;;;;;394;3045;;;;;394;3051;;;;;;;;;;394;2958;;;;;;;;;;394;2956;;;;;;;;;;394;2841;;;;;;;;;;394;2856;;;;;;;;;;394;2901;
395;2752;;;;;395;2758;;;;;395;2960;;;;;;;;;;395;3044;;;;;;;;;;395;2817;;;;;;;;;;395;2799;;;;;;;;;;395;2848;;;;;;;;;;395;2815;
396;2636;;;;;396;2842;;;;;396;2950;;;;;;;;;;396;2973;;;;;;;;;;396;2806;;;;;;;;;;396;2727;;;;;;;;;;396;2798;;;;;;;;;;396;2780;
397;2566;;;;;397;2707;;;;;397;2957;;;;;;;;;;397;2847;;;;;;;;;;397;2745;;;;;;;;;;397;2638;;;;;;;;;;397;2629;;;;;;;;;;397;2560;
398;2385;;;;;398;2591;;;;;398;2826;;;;;;;;;;398;2838;;;;;;;;;;398;2688;;;;;;;;;;398;2527;;;;;;;;;;398;2557;;;;;;;;;;398;2469;
399;2280;;;;;399;2488;;;;;399;2738;;;;;;;;;;399;2624;;;;;;;;;;399;2661;;;;;;;;;;399;2435;;;;;;;;;;399;2376;;;;;;;;;;399;2428;
400;2299;;;;;400;2455;;;;;400;2571;;;;;;;;;;400;2562;;;;;;;;;;400;2492;;;;;;;;;;400;2365;;;;;;;;;;400;2413;;;;;;;;;;400;2349;
401;2110;;;;;401;2312;;;;;401;2553;;;;;;;;;;401;2510;;;;;;;;;;401;2379;;;;;;;;;;401;2198;;;;;;;;;;401;2156;;;;;;;;;;401;2137;
402;1944;;;;;402;2162;;;;;402;2437;;;;;;;;;;402;2390;;;;;;;;;;402;2312;;;;;;;;;;402;2129;;;;;;;;;;402;2044;;;;;;;;;;402;1965;
403;1860;;;;;403;2119;;;;;403;2192;;;;;;;;;;403;2194;;;;;;;;;;403;2161;;;;;;;;;;403;1980;;;;;;;;;;403;1811;;;;;;;;;;403;1902;
404;1678;;;;;404;2039;;;;;404;2121;;;;;;;;;;404;2082;;;;;;;;;;404;1969;;;;;;;;;;404;1869;;;;;;;;;;404;1808;;;;;;;;;;404;1769;
405;1628;;;;;405;1799;;;;;405;2027;;;;;;;;;;405;2029;;;;;;;;;;405;1815;;;;;;;;;;405;1667;;;;;;;;;;405;1734;;;;;;;;;;405;1590;
406;1534;;;;;406;1784;;;;;406;1999;;;;;;;;;;406;1964;;;;;;;;;;406;1829;;;;;;;;;;406;1607;;;;;;;;;;406;1505;;;;;;;;;;406;1490;
407;1480;;;;;407;1779;;;;;407;1885;;;;;;;;;;407;1870;;;;;;;;;;407;1666;;;;;;;;;;407;1512;;;;;;;;;;407;1374;;;;;;;;;;407;1404;
408;1418;;;;;408;1596;;;;;408;1802;;;;;;;;;;408;1867;;;;;;;;;;408;1628;;;;;;;;;;408;1491;;;;;;;;;;408;1301;;;;;;;;;;408;1376;
409;1367;;;;;409;1691;;;;;409;1824;;;;;;;;;;409;1822;;;;;;;;;;409;1644;;;;;;;;;;409;1301;;;;;;;;;;409;1299;;;;;;;;;;409;1347;
410;1327;;;;;410;1636;;;;;410;1723;;;;;;;;;;410;1702;;;;;;;;;;410;1526;;;;;;;;;;410;1308;;;;;;;;;;410;1194;;;;;;;;;;410;1179;
411;1322;;;;;411;1578;;;;;411;1693;;;;;;;;;;411;1702;;;;;;;;;;411;1493;;;;;;;;;;411;1242;;;;;;;;;;411;1143;;;;;;;;;;411;1249;
412;1364;;;;;412;1619;;;;;412;1699;;;;;;;;;;412;1660;;;;;;;;;;412;1423;;;;;;;;;;412;1258;;;;;;;;;;412;1155;;;;;;;;;;412;1233;
413;1341;;;;;413;1535;;;;;413;1717;;;;;;;;;;413;1633;;;;;;;;;;413;1557;;;;;;;;;;413;1261;;;;;;;;;;413;1164;;;;;;;;;;413;1173;
414;1323;;;;;414;1601;;;;;414;1614;;;;;;;;;;414;1586;;;;;;;;;;414;1426;;;;;;;;;;414;1214;;;;;;;;;;414;1177;;;;;;;;;;414;1187;
415;1262;;;;;415;1551;;;;;415;1617;;;;;;;;;;415;1661;;;;;;;;;;415;1406;;;;;;;;;;415;1283;;;;;;;;;;415;1165;;;;;;;;;;415;1149;
416;1264;;;;;416;1527;;;;;416;1565;;;;;;;;;;416;1614;;;;;;;;;;416;1451;;;;;;;;;;416;1252;;;;;;;;;;416;1140;;;;;;;;;;416;1084;
417;1271;;;;;417;1493;;;;;417;1638;;;;;;;;;;417;1624;;;;;;;;;;417;1398;;;;;;;;;;417;1250;;;;;;;;;;417;1084;;;;;;;;;;417;1222;
418;1203;;;;;418;1475;;;;;418;1594;;;;;;;;;;418;1495;;;;;;;;;;418;1381;;;;;;;;;;418;1230;;;;;;;;;;418;1138;;;;;;;;;;418;1151;
419;1208;;;;;419;1445;;;;;419;1629;;;;;;;;;;419;1603;;;;;;;;;;419;1362;;;;;;;;;;419;1140;;;;;;;;;;419;1105;;;;;;;;;;419;1122;
420;1164;;;;;420;1463;;;;;420;1635;;;;;;;;;;420;1554;;;;;;;;;;420;1388;;;;;;;;;;420;1228;;;;;;;;;;420;1112;;;;;;;;;;420;1167;
421;1217;;;;;421;1484;;;;;421;1590;;;;;;;;;;421;1577;;;;;;;;;;421;1361;;;;;;;;;;421;1183;;;;;;;;;;421;1132;;;;;;;;;;421;1105;
422;1210;;;;;422;1590;;;;;422;1537;;;;;;;;;;422;1505;;;;;;;;;;422;1422;;;;;;;;;;422;1118;;;;;;;;;;422;1061;;;;;;;;;;422;1175;
423;1239;;;;;423;1482;;;;;423;1581;;;;;;;;;;423;1479;;;;;;;;;;423;1347;;;;;;;;;;423;1132;;;;;;;;;;423;986;;;;;;;;;;423;1125;
424;1150;;;;;424;1410;;;;;424;1493;;;;;;;;;;424;1557;;;;;;;;;;424;1344;;;;;;;;;;424;1179;;;;;;;;;;424;1043;;;;;;;;;;424;1087;
425;1138;;;;;425;1450;;;;;425;1592;;;;;;;;;;425;1443;;;;;;;;;;425;1329;;;;;;;;;;425;1133;;;;;;;;;;425;1020;;;;;;;;;;425;1104;
426;1254;;;;;426;1339;;;;;426;1480;;;;;;;;;;426;1479;;;;;;;;;;426;1318;;;;;;;;;;426;1096;;;;;;;;;;426;1036;;;;;;;;;;426;1052;
427;1131;;;;;427;1361;;;;;427;1541;;;;;;;;;;427;1467;;;;;;;;;;427;1334;;;;;;;;;;427;1091;;;;;;;;;;427;1015;;;;;;;;;;427;1098;
428;1176;;;;;428;1403;;;;;428;1455;;;;;;;;;;428;1410;;;;;;;;;;428;1265;;;;;;;;;;428;1181;;;;;;;;;;428;1032;;;;;;;;;;428;1069;
429;1103;;;;;429;1304;;;;;429;1465;;;;;;;;;;429;1438;;;;;;;;;;429;1247;;;;;;;;;;429;1041;;;;;;;;;;429;1006;;;;;;;;;;429;1058;
430;1149;;;;;430;1406;;;;;430;1396;;;;;;;;;;430;1404;;;;;;;;;;430;1197;;;;;;;;;;430;1140;;;;;;;;;;430;1019;;;;;;;;;;430;1069;
431;1141;;;;;431;1291;;;;;431;1383;;;;;;;;;;431;1392;;;;;;;;;;431;1242;;;;;;;;;;431;1086;;;;;;;;;;431;1002;;;;;;;;;;431;1053;
432;1123;;;;;432;1222;;;;;432;1418;;;;;;;;;;432;1430;;;;;;;;;;432;1232;;;;;;;;;;432;1130;;;;;;;;;;432;1018;;;;;;;;;;432;1016;
433;1091;;;;;433;1269;;;;;433;1431;;;;;;;;;;433;1407;;;;;;;;;;433;1211;;;;;;;;;;433;1078;;;;;;;;;;433;953;;;;;;;;;;433;949;
434;1098;;;;;434;1292;;;;;434;1363;;;;;;;;;;434;1332;;;;;;;;;;434;1246;;;;;;;;;;434;1060;;;;;;;;;;434;939;;;;;;;;;;434;987;
435;1070;;;;;435;1252;;;;;435;1377;;;;;;;;;;435;1315;;;;;;;;;;435;1241;;;;;;;;;;435;1002;;;;;;;;;;435;967;;;;;;;;;;435;935;
436;1054;;;;;436;1326;;;;;436;1413;;;;;;;;;;436;1290;;;;;;;;;;436;1227;;;;;;;;;;436;974;;;;;;;;;;436;961;;;;;;;;;;436;1051;
437;1061;;;;;437;1261;;;;;437;1351;;;;;;;;;;437;1293;;;;;;;;;;437;1130;;;;;;;;;;437;1055;;;;;;;;;;437;944;;;;;;;;;;437;985;
438;1079;;;;;438;1250;;;;;438;1293;;;;;;;;;;438;1290;;;;;;;;;;438;1137;;;;;;;;;;438;1000;;;;;;;;;;438;953;;;;;;;;;;438;964;
439;1010;;;;;439;1194;;;;;439;1317;;;;;;;;;;439;1230;;;;;;;;;;439;1146;;;;;;;;;;439;929;;;;;;;;;;439;907;;;;;;;;;;439;962;
440;1069;;;;;440;1163;;;;;440;1271;;;;;;;;;;440;1239;;;;;;;;;;440;1077;;;;;;;;;;440;1018;;;;;;;;;;440;891;;;;;;;;;;440;937;
441;1004;;;;;441;1129;;;;;441;1248;;;;;;;;;;441;1194;;;;;;;;;;441;1126;;;;;;;;;;441;980;;;;;;;;;;441;880;;;;;;;;;;441;904;
442;933;;;;;442;1104;;;;;442;1182;;;;;;;;;;442;1214;;;;;;;;;;442;1090;;;;;;;;;;442;942;;;;;;;;;;442;865;;;;;;;;;;442;945;
443;947;;;;;443;1102;;;;;443;1287;;;;;;;;;;443;1191;;;;;;;;;;443;1047;;;;;;;;;;443;915;;;;;;;;;;443;949;;;;;;;;;;443;899;
444;965;;;;;444;1161;;;;;444;1202;;;;;;;;;;444;1113;;;;;;;;;;444;1055;;;;;;;;;;444;925;;;;;;;;;;444;888;;;;;;;;;;444;938;
445;976;;;;;445;1137;;;;;445;1209;;;;;;;;;;445;1155;;;;;;;;;;445;1104;;;;;;;;;;445;908;;;;;;;;;;445;880;;;;;;;;;;445;912;
446;944;;;;;446;1107;;;;;446;1212;;;;;;;;;;446;1152;;;;;;;;;;446;1022;;;;;;;;;;446;858;;;;;;;;;;446;856;;;;;;;;;;446;866;
447;969;;;;;447;1148;;;;;447;1161;;;;;;;;;;447;1132;;;;;;;;;;447;944;;;;;;;;;;447;922;;;;;;;;;;447;840;;;;;;;;;;447;881;
448;882;;;;;448;1149;;;;;448;1170;;;;;;;;;;448;1101;;;;;;;;;;448;988;;;;;;;;;;448;918;;;;;;;;;;448;808;;;;;;;;;;448;848;
449;922;;;;;449;994;;;;;449;1136;;;;;;;;;;449;1071;;;;;;;;;;449;1011;;;;;;;;;;449;883;;;;;;;;;;449;845;;;;;;;;;;449;871;
450;915;;;;;450;1044;;;;;450;1069;;;;;;;;;;450;1133;;;;;;;;;;450;993;;;;;;;;;;450;855;;;;;;;;;;450;829;;;;;;;;;;450;768;
451;864;;;;;451;1080;;;;;451;1138;;;;;;;;;;451;972;;;;;;;;;;451;908;;;;;;;;;;451;883;;;;;;;;;;451;785;;;;;;;;;;451;830;
452;865;;;;;452;1032;;;;;452;1070;;;;;;;;;;452;1086;;;;;;;;;;452;974;;;;;;;;;;452;864;;;;;;;;;;452;818;;;;;;;;;;452;861;
453;823;;;;;453;1039;;;;;453;1058;;;;;;;;;;453;1063;;;;;;;;;;453;930;;;;;;;;;;453;813;;;;;;;;;;453;780;;;;;;;;;;453;819;
454;848;;;;;454;1031;;;;;454;1073;;;;;;;;;;454;1054;;;;;;;;;;454;912;;;;;;;;;;454;845;;;;;;;;;;454;760;;;;;;;;;;454;789;
455;842;;;;;455;1033;;;;;455;1047;;;;;;;;;;455;990;;;;;;;;;;455;862;;;;;;;;;;455;774;;;;;;;;;;455;775;;;;;;;;;;455;750;
456;864;;;;;456;996;;;;;456;1052;;;;;;;;;;456;995;;;;;;;;;;456;881;;;;;;;;;;456;839;;;;;;;;;;456;714;;;;;;;;;;456;827;
457;779;;;;;457;874;;;;;457;941;;;;;;;;;;457;955;;;;;;;;;;457;917;;;;;;;;;;457;758;;;;;;;;;;457;759;;;;;;;;;;457;803;
458;776;;;;;458;911;;;;;458;993;;;;;;;;;;458;987;;;;;;;;;;458;834;;;;;;;;;;458;781;;;;;;;;;;458;747;;;;;;;;;;458;774;
459;787;;;;;459;916;;;;;459;988;;;;;;;;;;459;884;;;;;;;;;;459;819;;;;;;;;;;459;747;;;;;;;;;;459;685;;;;;;;;;;459;711;
460;748;;;;;460;923;;;;;460;962;;;;;;;;;;460;891;;;;;;;;;;460;832;;;;;;;;;;460;744;;;;;;;;;;460;684;;;;;;;;;;460;747;
461;777;;;;;461;868;;;;;461;953;;;;;;;;;;461;929;;;;;;;;;;461;824;;;;;;;;;;461;738;;;;;;;;;;461;675;;;;;;;;;;461;682;
462;720;;;;;462;819;;;;;462;925;;;;;;;;;;462;874;;;;;;;;;;462;797;;;;;;;;;;462;769;;;;;;;;;;462;672;;;;;;;;;;462;737;
463;739;;;;;463;827;;;;;463;917;;;;;;;;;;463;792;;;;;;;;;;463;840;;;;;;;;;;463;691;;;;;;;;;;463;656;;;;;;;;;;463;668;
464;722;;;;;464;820;;;;;464;849;;;;;;;;;;464;865;;;;;;;;;;464;764;;;;;;;;;;464;703;;;;;;;;;;464;646;;;;;;;;;;464;613;
465;774;;;;;465;812;;;;;465;863;;;;;;;;;;465;859;;;;;;;;;;465;810;;;;;;;;;;465;682;;;;;;;;;;465;610;;;;;;;;;;465;648;
466;685;;;;;466;795;;;;;466;890;;;;;;;;;;466;859;;;;;;;;;;466;758;;;;;;;;;;466;639;;;;;;;;;;466;653;;;;;;;;;;466;651;
467;693;;;;;467;745;;;;;467;778;;;;;;;;;;467;765;;;;;;;;;;467;699;;;;;;;;;;467;642;;;;;;;;;;467;630;;;;;;;;;;467;695;
468;645;;;;;468;729;;;;;468;867;;;;;;;;;;468;792;;;;;;;;;;468;715;;;;;;;;;;468;661;;;;;;;;;;468;601;;;;;;;;;;468;582;
469;598;;;;;469;702;;;;;469;804;;;;;;;;;;469;812;;;;;;;;;;469;687;;;;;;;;;;469;620;;;;;;;;;;469;600;;;;;;;;;;469;622;
470;637;;;;;470;682;;;;;470;769;;;;;;;;;;470;760;;;;;;;;;;470;682;;;;;;;;;;470;600;;;;;;;;;;470;599;;;;;;;;;;470;593;
471;644;;;;;471;722;;;;;471;705;;;;;;;;;;471;708;;;;;;;;;;471;659;;;;;;;;;;471;585;;;;;;;;;;471;596;;;;;;;;;;471;545;
472;665;;;;;472;707;;;;;472;724;;;;;;;;;;472;755;;;;;;;;;;472;682;;;;;;;;;;472;603;;;;;;;;;;472;540;;;;;;;;;;472;598;
473;611;;;;;473;640;;;;;473;721;;;;;;;;;;473;705;;;;;;;;;;473;654;;;;;;;;;;473;583;;;;;;;;;;473;499;;;;;;;;;;473;573;
474;556;;;;;474;657;;;;;474;682;;;;;;;;;;474;682;;;;;;;;;;474;630;;;;;;;;;;474;534;;;;;;;;;;474;506;;;;;;;;;;474;513;
475;566;;;;;475;644;;;;;475;696;;;;;;;;;;475;646;;;;;;;;;;475;616;;;;;;;;;;475;490;;;;;;;;;;475;504;;;;;;;;;;475;586;
476;548;;;;;476;611;;;;;476;670;;;;;;;;;;476;644;;;;;;;;;;476;583;;;;;;;;;;476;520;;;;;;;;;;476;472;;;;;;;;;;476;545;
477;514;;;;;477;637;;;;;477;655;;;;;;;;;;477;582;;;;;;;;;;477;566;;;;;;;;;;477;504;;;;;;;;;;477;488;;;;;;;;;;477;513;
478;492;;;;;478;606;;;;;478;612;;;;;;;;;;478;586;;;;;;;;;;478;525;;;;;;;;;;478;447;;;;;;;;;;478;474;;;;;;;;;;478;527;
479;458;;;;;479;553;;;;;479;630;;;;;;;;;;479;535;;;;;;;;;;479;525;;;;;;;;;;479;489;;;;;;;;;;479;517;;;;;;;;;;479;468;
480;460;;;;;480;562;;;;;480;566;;;;;;;;;;480;551;;;;;;;;;;480;523;;;;;;;;;;480;447;;;;;;;;;;480;420;;;;;;;;;;480;437;
481;420;;;;;481;504;;;;;481;549;;;;;;;;;;481;534;;;;;;;;;;481;522;;;;;;;;;;481;466;;;;;;;;;;481;428;;;;;;;;;;481;460;
482;448;;;;;482;461;;;;;482;532;;;;;;;;;;482;523;;;;;;;;;;482;497;;;;;;;;;;482;445;;;;;;;;;;482;394;;;;;;;;;;482;440;
483;387;;;;;483;514;;;;;483;523;;;;;;;;;;483;480;;;;;;;;;;483;433;;;;;;;;;;483;389;;;;;;;;;;483;375;;;;;;;;;;483;416;
484;409;;;;;484;434;;;;;484;513;;;;;;;;;;484;451;;;;;;;;;;484;420;;;;;;;;;;484;403;;;;;;;;;;484;395;;;;;;;;;;484;387;
485;402;;;;;485;418;;;;;485;499;;;;;;;;;;485;428;;;;;;;;;;485;415;;;;;;;;;;485;372;;;;;;;;;;485;387;;;;;;;;;;485;376;
486;357;;;;;486;418;;;;;486;439;;;;;;;;;;486;421;;;;;;;;;;486;372;;;;;;;;;;486;352;;;;;;;;;;486;345;;;;;;;;;;486;350;
487;342;;;;;487;400;;;;;487;450;;;;;;;;;;487;386;;;;;;;;;;487;379;;;;;;;;;;487;356;;;;;;;;;;487;342;;;;;;;;;;487;326;
488;302;;;;;488;378;;;;;488;390;;;;;;;;;;488;410;;;;;;;;;;488;353;;;;;;;;;;488;282;;;;;;;;;;488;320;;;;;;;;;;488;324;
489;320;;;;;489;352;;;;;489;373;;;;;;;;;;489;381;;;;;;;;;;489;335;;;;;;;;;;489;315;;;;;;;;;;489;302;;;;;;;;;;489;283;
490;291;;;;;490;304;;;;;490;355;;;;;;;;;;490;353;;;;;;;;;;490;307;;;;;;;;;;490;254;;;;;;;;;;490;297;;;;;;;;;;490;301;
491;248;;;;;491;293;;;;;491;325;;;;;;;;;;491;298;;;;;;;;;;491;325;;;;;;;;;;491;259;;;;;;;;;;491;252;;;;;;;;;;491;291;
492;254;;;;;492;315;;;;;492;278;;;;;;;;;;492;299;;;;;;;;;;492;275;;;;;;;;;;492;241;;;;;;;;;;492;229;;;;;;;;;;492;230;
493;223;;;;;493;258;;;;;493;276;;;;;;;;;;493;270;;;;;;;;;;493;257;;;;;;;;;;493;225;;;;;;;;;;493;205;;;;;;;;;;493;247;
494;195;;;;;494;239;;;;;494;271;;;;;;;;;;494;271;;;;;;;;;;494;249;;;;;;;;;;494;217;;;;;;;;;;494;214;;;;;;;;;;494;190;
495;171;;;;;495;191;;;;;495;253;;;;;;;;;;495;218;;;;;;;;;;495;219;;;;;;;;;;495;179;;;;;;;;;;495;189;;;;;;;;;;495;180;
496;167;;;;;496;163;;;;;496;204;;;;;;;;;;496;192;;;;;;;;;;496;182;;;;;;;;;;496;151;;;;;;;;;;496;163;;;;;;;;;;496;159;
497;129;;;;;497;161;;;;;497;186;;;;;;;;;;497;173;;;;;;;;;;497;169;;;;;;;;;;497;137;;;;;;;;;;497;129;;;;;;;;;;497;156;
498;138;;;;;498;148;;;;;498;165;;;;;;;;;;498;134;;;;;;;;;;498;141;;;;;;;;;;498;142;;;;;;;;;;498;122;;;;;;;;;;498;131;
499;125;;;;;499;105;;;;;499;128;;;;;;;;;;499;135;;;;;;;;;;499;144;;;;;;;;;;499;108;;;;;;;;;;499;114;;;;;;;;;;499;122;
500;95;;;;;500;101;;;;;500;119;;;;;;;;;;500;110;;;;;;;;;;500;108;;;;;;;;;;500;120;;;;;;;;;;500;106;;;;;;;;;;500;103;
501;57;;;;;501;82;;;;;501;104;;;;;;;;;;501;120;;;;;;;;;;501;87;;;;;;;;;;501;79;;;;;;;;;;501;86;;;;;;;;;;501;72;
502;66;;;;;502;65;;;;;502;93;;;;;;;;;;502;74;;;;;;;;;;502;78;;;;;;;;;;502;68;;;;;;;;;;502;56;;;;;;;;;;502;74;
503;39;;;;;503;47;;;;;503;72;;;;;;;;;;503;52;;;;;;;;;;503;65;;;;;;;;;;503;58;;;;;;;;;;503;43;;;;;;;;;;503;54;
504;48;;;;;504;36;;;;;504;61;;;;;;;;;;504;61;;;;;;;;;;504;62;;;;;;;;;;504;49;;;;;;;;;;504;37;;;;;;;;;;504;41;
505;30;;;;;505;27;;;;;505;36;;;;;;;;;;505;36;;;;;;;;;;505;43;;;;;;;;;;505;21;;;;;;;;;;505;22;;;;;;;;;;505;33;
506;23;;;;;506;19;;;;;506;41;;;;;;;;;;506;28;;;;;;;;;;506;22;;;;;;;;;;506;27;;;;;;;;;;506;25;;;;;;;;;;506;22;
507;21;;;;;507;23;;;;;507;20;;;;;;;;;;507;21;;;;;;;;;;507;26;;;;;;;;;;507;24;;;;;;;;;;507;18;;;;;;;;;;507;24;
508;16;;;;;508;14;;;;;508;28;;;;;;;;;;508;22;;;;;;;;;;508;14;;;;;;;;;;508;21;;;;;;;;;;508;13;;;;;;;;;;508;15;
509;8;;;;;509;17;;;;;509;20;;;;;;;;;;509;15;;;;;;;;;;509;16;;;;;;;;;;509;11;;;;;;;;;;509;16;;;;;;;;;;509;14;
510;12;;;;;510;11;;;;;510;16;;;;;;;;;;510;21;;;;;;;;;;510;14;;;;;;;;;;510;10;;;;;;;;;;510;12;;;;;;;;;;510;8;
511;;;;;;511;;;;;;511;16;;;;;;;;;;511;18;;;;;;;;;;511;16;;;;;;;;;;511;10;;;;;;;;;;511;10;;;;;;;;;;511;8;
